source_dataset,country_code,year,diagnosis_code,observation_available
average_length_stay,DE,2017,F,True
average_length_stay,DE,2017,I,True
average_length_stay,DE,2017,J,True
average_length_stay,DE,2018,A-T_Z,True
average_length_stay,DE,2018,C00-D48,True
average_length_stay,DE,2018,F,True
average_length_stay,DE,2018,I,True
average_length_stay,DE,2018,J,True
average_length_stay,DE,2019,A-T_Z,True
average_length_stay,DE,2019,C00-D48,True
average_length_stay,DE,2019,F,True
average_length_stay,DE,2019,I,True
average_length_stay,DE,2019,J,True
